"USNM.no.","Species","Day","Month","Year","Locality","County","State.Province","Sex","pop","Region","lat","lon","GRG.no.","Collector","prepartor","tissue.no.","Age","testes.L.R","weight.g","skeleton","wing.R.mm","tail.mm","bill.depth.mm","bill.width.mm","bill.culmen.mm","bill.nares.mm","tarsus1.mm","tarsus2.mm","alula","wing.spot.L.mm","wing.spot.R.mm","dorsal.photoID","side.photoID","crown.photoID","ventral.photoID","file.loc","comments_specimen","comments_analysis","Weight"
"608313","Setophaga caerulescens","13","Jun","92","1.5mi NW Black Moshannon Reservoir on Huckleberry Rd, Moshannon State Forest; 600m","Centre","PA","M","PA.Centre","Central",40.92719,-78.0898,3203,"GRG","CJD","T-923","SY","6x4, 5x5",9.5,"partial",62.5,49.7,3,4,10.2,6.7,NA,NA,"green",14.7,12.7,2,3,2,2,NA,"bill black; mouth lining cream; legs munsell 2.5Y 4/2; no fat; stomach saved; no molt","wingspot obscured",NA
"608314","Setophaga caerulescens","13","Jun","92","0.5mi W Sixmile Run on Strawband Beaver Rd, Moshannon State Forest; 650m","Centre","PA","M","PA.Centre","Central",40.86828,-78.05871,3251,"GRG","CJD","T-971","SY","5x4, NA",9.6,"partial",64.5,49.9,2.9,3.9,10.1,6.8,NA,NA,"green",9,7,2,2,2,2,NA,"bill black; legs munsell 5Y 2.5/1; moderate fat; stomach saved; no molt; R testis deflated","",NA
"608321","Setophaga caerulescens","14","Jun","92","3.5mi SW Black Moshannon Reservoir on Strawband Beaver Rd, Moshannon State Forest; 600m","Centre","PA","M","PA.Centre","Central",40.86828,-78.05871,3258,"GRG","CJD","T-978","SY","7x5, 4x4",9.1,"partial",59.9,53.2,3,3.9,10.9,7.2,NA,NA,"green",9.2,9.5,2,2,2,2,NA,"bill black; mouth lining cream; legs munsell 2.5Y 3/2; no fat; stomach saved; no molt; foot pads yellowish","",NA
"608323","Setophaga caerulescens","14","Jun","92","0.4mi N of Hwy 322 on Sandy Ridge Trail, State Game Lands No. 33; 700m","Centre","PA","M","PA.Centre","Central",40.83079,-78.14433,3263,"GRG","JPD","T-983","SY","NA, 6x5.5",9,"partial",62.3,52.4,2.9,3.9,11,7.3,NA,NA,"green",12.7,12,2,2,2,2,NA,"bill black; mouth lining black; legs munsell 2.5Y 4/2; very light fat; stomach saved; no molt; L testis ruptured","",NA
"608325","Setophaga caerulescens","14","Jun","92","1mi W of Hwy 322 on Sandy Ridge Trail; State game lands No.33; 700m","Centre","PA","M","PA.Centre","Central",40.83079,-78.14433,3205,"GRG","CJD","T-925","SY","5x4, 4x4",9.4,"partial",59.1,52.5,3,4,11.2,6.5,NA,NA,"green",13.5,12.6,2,2,2,2,NA,"bill black; mouth lining light cream; legs munsell 2.5Y 432; no fat; stomach saved; no molt","",NA
"608326","Setophaga caerulescens","14","Jun","92","1mi W of Hwy 322 on Sandy Ridge Trail; State game lands No.33; 700m","Centre","PA","M","PA.Centre","Central",40.83079,-78.14433,3259,"GRG","JPD","T-979","SY","8x5, 6.5x5.5",9.5,"partial",63.5,54.1,3.2,4.1,11,7.5,NA,NA,"green",12.3,8.7,2,2,2,2,NA,"bill black; mouth lining gray; legs munsell 5Y 4/2; fat moderate; stomach saved; no molt","jacked-up wingspot",NA
"608328","Setophaga caerulescens","14","Jun","92","State Game Lands No. 33, 2.2 mi W Hwy 322 On Sandy Ridge Road","Centre","PA","M","PA.Centre","Central",40.83201,-78.14412,3260,"GRG","","T-980","","",8.9,"partial",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","",NA
"608329","Setophaga caerulescens","14","Jun","92","State Game Lands No. 33, 3.6 mi W Hwy 322 On Sandy Ridge Road","Centre","PA","M","PA.Centre","Central",40.83201,-78.14412,3261,"GRG","","T-981","","",8.75,"partial",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,2,NA,NA,"","",NA
"608330","Setophaga caerulescens","14","Jun","92","0.3mi S Black Moshannon Creek on Hannah Furnace Rd, Moshannon State Forest; 475m","Centre","PA","M","PA.Centre","Central",40.91309,-78.12391,3264,"GRG","JPD","T-984","SY","7x5, 5.5x4.5",9.8,"partial",61.9,51.3,3.2,NA,10.7,7,NA,NA,"green",11.6,12.6,2,2,2,2,NA,"bill black; mouth lining black; legs munsell 5Y 2.5/2; stomach saved; no molt; lower bill tip broken","",NA
"608331","Setophaga caerulescens","14","Jun","92","0.3mi S Black Moshannon Creek on Hannah Furnace Rd, Moshannon State Forest; 475m","Centre","PA","M","PA.Centre","Central",40.91309,-78.12391,3265,"GRG","JPD","T-985","SY","5.5x5, NA",8.3,"partial",61.1,51.8,2.9,4.1,11.5,6.7,NA,NA,"green",12.9,11.1,2,2,3,2,NA,"bill black; mouth lining black; legs munsell 5Y 3/2; fat light; stomach saved; R testis ruptured","",NA
