"ID","feather_ID","Comments","black segment","clear segment","sum_length","perc_black","perc_clear"
"BW15110","f2","b6",0.172136434,3.374940956,3.54707739,0.0485290889015534,0.951470911098447
"BW15110","f2","b7",NA,3.680063822,3.680063822,NA,1
"BW15110","f2","b8",NA,4.300659424,4.300659424,NA,1
"BW15110","f2","b9",NA,4.75759586,4.75759586,NA,1
"BW15110","f3","b1",NA,1.638455973413,1.638455973413,NA,1
"BW15110","f3","b10",NA,5.2493866228,5.2493866228,NA,1
"BW15110","f3","b2",NA,1.465023452407,1.465023452407,NA,1
"BW15110","f3","b3",NA,1.974431354044,1.974431354044,NA,1
"BW15110","f3","b4",NA,2.333802184619,2.333802184619,NA,1
"BW15110","f3","b5",NA,3.014755591482,3.014755591482,NA,1
"BW15110","f3","b6",NA,3.155518162569,3.155518162569,NA,1
"BW15110","f3","b7",NA,3.77224052418,3.77224052418,NA,1
"BW15110","f3","b8",NA,8.857671904068,8.857671904068,NA,1
"BW15110","f3","b9",NA,10.080285599831,10.080285599831,NA,1
"BW15112","L_f1","b10",NA,5.01228110813,5.01228110813,NA,1
"BW15112","L_f1","b2",NA,1.704697647142,1.704697647142,NA,1
"BW15112","L_f1","b6",NA,3.67790500496,3.67790500496,NA,1
"BW15112","L_f2","b10",NA,4.823622668917,4.823622668917,NA,1
"BW15112","L_f2","b2",NA,1.814696432123,1.814696432123,NA,1
"BW15112","L_f2","b6",NA,4.092878266814,4.092878266814,NA,1
"BW15112","L_f3","b10",NA,6.604028819479,6.604028819479,NA,1
"BW15112","L_f3","b2",NA,2.397822589926,2.397822589926,NA,1
"BW15112","L_f3","b6",NA,4.990990782816,4.990990782816,NA,1
"BW15112","R_f1","b10",NA,6.686690837784,6.686690837784,NA,1
"BW15112","R_f1","b2",NA,2.279423130237,2.279423130237,NA,1
"BW15112","R_f1","b6",NA,4.194081151908,4.194081151908,NA,1
"BW15112","R_f2","b10",NA,6.455452589359,6.455452589359,NA,1
"BW15112","R_f2","b2",NA,1.896864719657,1.896864719657,NA,1
"BW15112","R_f2","b6",NA,4.814900072903,4.814900072903,NA,1
"BW15112","R_f3","b10",NA,5.571698942758,5.571698942758,NA,1
"BW15112","R_f3","b2",NA,2.351679352723,2.351679352723,NA,1
"BW15112","R_f3","b6",0.159138361793,4.476146830355,4.635285192148,0.0343319461901879,0.965668053809812
"BW15113","L_f1","b10",1.032538640448,4.75735271492,5.789891355368,0.178334717712915,0.821665282287085
"BW15113","L_f1","b2",2.007748261933,0.980300359036,2.988048620969,0.671926235685517,0.328073764314483
"BW15113","L_f1","b6",1.947268002212,2.65777712664,4.605045128852,0.422855357054327,0.577144642945673
"BW15113","L_f2","b10",NA,5.822547692165,5.822547692165,NA,1
"BW15113","L_f2","b2",1.664943649564,0.370560567796,2.03550421736,0.817951461541746,0.182048538458254
"BW15113","L_f2","b6",2.0643796848,2.054885120206,4.119264805006,0.501152458635636,0.498847541364364
"BW15113","L_f3","b2",1.612603996752,0.886211282605,2.498815279357,0.645347421265552,0.354652578734448
"BW15113","L_f3","b6",0.536710427196,9.72047801615,10.257188443346,0.0523252965625461,0.947674703437454
"BW15113","R_f1","b10",NA,5.840978047692,5.840978047692,NA,1
"BW15113","R_f1","b2",1.672929977638,0.812875827752,2.48580580539,0.672993028663208,0.327006971336792
"BW15113","R_f1","b6",0.389671551731,4.238468019361,4.628139571092,0.0841961539286633,0.915803846071337
"BW15113","R_f2","b10",1.546098966015,4.097373895593,5.643472861608,0.273962328503954,0.726037671496046
