"ID","pl_code","lumMean","lumSD","lwMean","lwSD","mwMean","mwSD","swMean","swSD","uvMean","uvSD","dblMean","dblSD","area_mm2","Species","Day","Month","Year","Locality","County","State.Province","Sex","pop","Region","lat","lon","GRG.no.","Collector","prepartor","tissue.no.","Age","testes.L.R","weight.g","skeleton","wing.R.mm","tail.mm","bill.depth.mm","bill.width.mm","bill.culmen.mm","bill.nares.mm","tarsus1.mm","tarsus2.mm","alula","wing.spot.L.mm","wing.spot.R.mm","dorsal.photoID","side.photoID","crown.photoID","ventral.photoID","file.loc","comments_specimen","comments_analysis","Weight","Tarsometatarsus"
"606623","d",0.0607145416666667,0.0142802583333333,0.0540095966666667,0.0121398673333333,0.0624966483333333,0.0161305773333333,0.0776067203333333,0.0189094043333333,0.0840372786666667,0.0192073713333333,0.0607145416666667,0.0142802583333333,24.8181647588666,"Setophaga caerulescens",13,"Jun",89,"Stoney Creek, 12mi NE Pembroke, Jefferson Nat'l Forest; 850m","Giles","VA","M","VA.Giles","South",37.37291,-80.57508,2492,"GRG","JPA","460-a,b","ASY","7x5.5, NA",9,"partial",66.3,50.7,2.8,4.2,11,7.4,NA,NA,"blue",14.1,17.2,2,2,2,2,NA,"not original tag","auto-align",NA,19.23
"606623","o",0.070120707,0.007185137,0.068320998,0.00883724,0.071529044,0.007947483,0.079438265,0.00849586,0.084766041,0.007008039,0.070120707,0.007185137,3.3289547757553,"Setophaga caerulescens",13,"Jun",89,"Stoney Creek, 12mi NE Pembroke, Jefferson Nat'l Forest; 850m","Giles","VA","M","VA.Giles","South",37.37291,-80.57508,2492,"GRG","JPA","460-a,b","ASY","7x5.5, NA",9,"partial",66.3,50.7,2.8,4.2,11,7.4,NA,NA,"blue",14.1,17.2,2,2,2,2,NA,"not original tag","auto-align",NA,19.23
"606623","t",0.051172403,0.007077026,0.044963421,0.00797499,0.052746155,0.008091811,0.067934128,0.009323923,0.062231482,0.009225065,0.051172403,0.007077026,105.2857947082,"Setophaga caerulescens",13,"Jun",89,"Stoney Creek, 12mi NE Pembroke, Jefferson Nat'l Forest; 850m","Giles","VA","M","VA.Giles","South",37.37291,-80.57508,2492,"GRG","JPA","460-a,b","ASY","7x5.5, NA",9,"partial",66.3,50.7,2.8,4.2,11,7.4,NA,NA,"blue",14.1,17.2,2,2,2,2,NA,"not original tag","auto-align",NA,19.23
"606623","w",0.404213843,0.091181958,0.404542799,0.0958455,0.409563258,0.092619483,0.357157784,0.073268384,0.444270047,0.090905948,0.404213843,0.091181958,23.8678926627885,"Setophaga caerulescens",13,"Jun",89,"Stoney Creek, 12mi NE Pembroke, Jefferson Nat'l Forest; 850m","Giles","VA","M","VA.Giles","South",37.37291,-80.57508,2492,"GRG","JPA","460-a,b","ASY","7x5.5, NA",9,"partial",66.3,50.7,2.8,4.2,11,7.4,NA,NA,"blue",14.1,17.2,2,2,2,2,NA,"not original tag","auto-align",NA,19.23
"606627","b",0.424724402666667,0.0452586346666667,0.42852569,0.0478332283333333,0.427353120666667,0.0471463103333333,0.376149655,0.0383698046666667,0.465749717333333,0.0415315283333333,0.424724402666667,0.0452586346666667,24.5459435791581,"Setophaga caerulescens",13,"Jun",88,"Stoney Creek, 12mi NE Pembroke, Jefferson Nat'l Forest; 850m","Giles","VA","M","VA.Giles","South",37.37291,-80.57508,2496,"GRG","JPA","464-a,b","ASY","4.5x2.5, NA",9.3,"partial",66.4,54.2,3,3.7,10.7,7,NA,NA,"blue",16.9,15.2,2,2,2,2,NA,"not original tag; testes mushy; washed with ivory soap","Overwing coverts not visible due to back feathers, auto-align",NA,NA
"606627","c",0.090545363,0.032748905,0.071502625,0.030658712,0.09395751,0.035884427,0.117375717,0.033851312,0.208739286,0.054535485,0.090545363,0.032748905,46.7472321261025,"Setophaga caerulescens",13,"Jun",88,"Stoney Creek, 12mi NE Pembroke, Jefferson Nat'l Forest; 850m","Giles","VA","M","VA.Giles","South",37.37291,-80.57508,2496,"GRG","JPA","464-a,b","ASY","4.5x2.5, NA",9.3,"partial",66.4,54.2,3,3.7,10.7,7,NA,NA,"blue",16.9,15.2,2,2,2,2,NA,"not original tag; testes mushy; washed with ivory soap","Overwing coverts not visible due to back feathers, auto-align",NA,NA
"606627","d",0.059600409,0.0105733216666667,0.051709285,0.008196514,0.0616377873333333,0.0115508626666667,0.077711397,0.0147903436666667,0.0861601453333333,0.017213326,0.059600409,0.0105733216666667,25.3683617939576,"Setophaga caerulescens",13,"Jun",88,"Stoney Creek, 12mi NE Pembroke, Jefferson Nat'l Forest; 850m","Giles","VA","M","VA.Giles","South",37.37291,-80.57508,2496,"GRG","JPA","464-a,b","ASY","4.5x2.5, NA",9.3,"partial",66.4,54.2,3,3.7,10.7,7,NA,NA,"blue",16.9,15.2,2,2,2,2,NA,"not original tag; testes mushy; washed with ivory soap","Overwing coverts not visible due to back feathers, auto-align",NA,NA
"606627","o",0.07991923,0.024880616,0.078400133,0.02868322,0.081597359,0.02579255,0.087153217,0.017949396,0.09449238,0.024191312,0.07991923,0.024880616,6.93638581347345,"Setophaga caerulescens",13,"Jun",88,"Stoney Creek, 12mi NE Pembroke, Jefferson Nat'l Forest; 850m","Giles","VA","M","VA.Giles","South",37.37291,-80.57508,2496,"GRG","JPA","464-a,b","ASY","4.5x2.5, NA",9.3,"partial",66.4,54.2,3,3.7,10.7,7,NA,NA,"blue",16.9,15.2,2,2,2,2,NA,"not original tag; testes mushy; washed with ivory soap","Overwing coverts not visible due to back feathers, auto-align",NA,NA
"606627","t",0.052641832,0.008412597,0.047007375,0.009359745,0.054009766,0.009167747,0.069045518,0.009380278,0.062724224,0.010097867,0.052641832,0.008412597,101.800713079377,"Setophaga caerulescens",13,"Jun",88,"Stoney Creek, 12mi NE Pembroke, Jefferson Nat'l Forest; 850m","Giles","VA","M","VA.Giles","South",37.37291,-80.57508,2496,"GRG","JPA","464-a,b","ASY","4.5x2.5, NA",9.3,"partial",66.4,54.2,3,3.7,10.7,7,NA,NA,"blue",16.9,15.2,2,2,2,2,NA,"not original tag; testes mushy; washed with ivory soap","Overwing coverts not visible due to back feathers, auto-align",NA,NA
"606627","w",0.408702658,0.127880745,0.417894541,0.134763609,0.414664276,0.130929038,0.347925537,0.095940766,0.40949947,0.115879093,0.408702658,0.127880745,57.8742728466879,"Setophaga caerulescens",13,"Jun",88,"Stoney Creek, 12mi NE Pembroke, Jefferson Nat'l Forest; 850m","Giles","VA","M","VA.Giles","South",37.37291,-80.57508,2496,"GRG","JPA","464-a,b","ASY","4.5x2.5, NA",9.3,"partial",66.4,54.2,3,3.7,10.7,7,NA,NA,"blue",16.9,15.2,2,2,2,2,NA,"not original tag; testes mushy; washed with ivory soap","Overwing coverts not visible due to back feathers, auto-align",NA,NA
