"USNM.no.","Year","lat","lon","Tmax08_molt","Tmin08_molt","Tave08_molt","PPT08_molt","RH08_molt","CMI08_molt","moltYear"
612928,89,36.13795,-82.33957,28.7,15.3,22,98,61,-4.07,88
612930,88,36.1379,-82.35464,29.6,15.5,22.6,52,60,-9.45,87
612931,89,36.13795,-82.33957,28.7,15.3,22,98,61,-4.07,88
612932,89,36.13795,-82.33957,28.7,15.3,22,98,61,-4.07,88
612933,89,36.13795,-82.33957,28.7,15.3,22,98,61,-4.07,88
612939,89,36.17533,-82.12236,26.4,14.6,20.5,105,65,-1.45,88
612941,89,36.13795,-82.33957,28.7,15.3,22,98,61,-4.07,88
613585,90,46.37789,-88.92817,25,11.2,18.1,85,59,-2.51,89
613586,90,46.37789,-88.92817,25,11.2,18.1,85,59,-2.51,89
613591,90,46.29309,-88.91342,25,11.4,18.2,87,60,-2.27,89
613592,90,46.35417,-88.95323,24.9,11.3,18.1,87,60,-2.21,89
613593,90,46.35417,-88.95323,24.9,11.3,18.1,87,60,-2.21,89
613594,90,46.36552,-88.94563,24.9,11.3,18.1,86,60,-2.32,89
613597,90,46.35368,-88.95335,24.9,11.3,18.1,87,60,-2.21,89
613598,90,46.37799,-88.91712,25,11.2,18.1,85,59,-2.52,89
613606,90,45.90355,-89.06899,25,11.1,18,94,59,-1.68,89
613607,90,45.90355,-89.06899,25,11.1,18,94,59,-1.68,89
613608,90,45.90355,-89.06899,25,11.1,18,94,59,-1.68,89
613609,90,45.929,-88.861,25,11.2,18.1,86,59,-2.45,89
613610,90,45.86375,-88.88867,25,11.2,18.1,88,59,-2.26,89
613611,90,45.86375,-88.88867,25,11.2,18.1,86,59,-2.44,89
613612,90,45.86375,-88.88867,25,11.2,18.1,86,59,-2.44,89
613652,90,45.58094,-77.66086,24.1,10.7,17.4,26,60,-7.56,89
613654,90,45.58094,-77.66086,24.1,10.7,17.4,26,60,-7.56,89
613657,90,48.8665693,-86.9761973,18.9,9.4,14.1,59,70,-0.71,89
613658,90,48.8665693,-86.9761973,18.9,9.4,14.1,59,70,-0.71,89
613660,90,48.8665693,-86.9761973,18.9,9.4,14.1,59,70,-0.71,89
613661,90,48.8665693,-86.9761973,18.9,9.4,14.1,59,70,-0.71,89
613662,90,48.8665693,-86.9761973,18.9,9.4,14.1,59,70,-0.71,89
613663,90,48.8665693,-86.9761973,18.9,9.4,14.1,59,70,-0.71,89
613669,90,45.6677817,-77.6868559,24.8,11.1,18,27,59,-7.81,89
613671,90,45.6677817,-77.6868559,24.8,11.1,18,27,59,-7.81,89
613673,90,45.6677817,-77.6868559,24.8,11.1,18,27,59,-7.81,89
613676,90,45.68915,-77.53545,24.9,11.2,18,26,59,-7.99,89
613677,90,45.68915,-77.53545,24.9,11.2,18,26,59,-7.99,89
613690,90,48.8665693,-86.9761973,18.9,9.4,14.1,59,70,-0.71,89
613691,90,48.8665693,-86.9761973,18.9,9.4,14.1,59,70,-0.71,89
614261,90,45.794,-66.854,22.6,11.3,17,157,66,7.1,89
614262,91,45.82499,-66.919051,25.9,13,19.4,102,62,-0.65,90
