ID lon lat srtm PPT_sm PPT_sp Tave_sm Tave_sp
606700 -80.5834224 38.3614987 664 404.814403570612 370.047566596972 20.16961493987 9.77437104550781
608313 -78.0898 40.92719 634 317.896354527762 260.044506924402 18.5977750267606 7.19777446516729
608314 -78.05871 40.86828 621 312.30829787238 263.81509681217 18.8036197366483 7.38404015635635
608321 -78.05871 40.86828 621 312.30829787238 263.81509681217 18.8036197366483 7.38404015635635
608323 -78.14433 40.83079 695 318.362247371755 271.285165000353 18.3292959081619 7.01464826570223
608325 -78.14433 40.83079 695 318.362247371755 271.285165000353 18.3292959081619 7.01464826570223
608326 -78.14433 40.83079 695 318.362247371755 271.285165000353 18.3292959081619 7.01464826570223
608329 -78.14412 40.83201 695 318.187827741971 271.069837346701 18.348475060738 7.02423779626378
608330 -78.12391 40.91309 602 315.289521476744 257.615289129267 18.93123631479 7.35181245011177
608331 -78.12391 40.91309 602 315.289521476744 257.615289129267 18.93123631479 7.35181245011177
608335 -77.7767117 41.7220797 583 317.114882079636 266.765453866127 18.5150934072709 6.58454702362828
608336 -77.75484 41.72457 543 318.646415067885 269.010614836104 18.4714755803372 6.53573781049212
608338 -77.7767117 41.7220797 583 317.114882079636 266.765453866127 18.5150934072709 6.58454702362828
608340 -77.7767117 41.7220797 583 317.114882079636 266.765453866127 18.5150934072709 6.58454702362828
608346 -77.7767117 41.7220797 583 317.114882079636 266.765453866127 18.5150934072709 6.58454702362828
608347 -77.7767117 41.7220797 583 317.114882079636 266.765453866127 18.5150934072709 6.58454702362828
608348 -77.7767117 41.7220797 583 317.114882079636 266.765453866127 18.5150934072709 6.58454702362828
608350 -77.7767117 41.7220797 583 317.114882079636 266.765453866127 18.5150934072709 6.58454702362828
608370 -74.5396005 41.90287 877 374.903724346721 345.914939370915 17.1214277858053 5.08811227809564
608371 -74.5396005 41.90287 877 374.903724346721 345.914939370915 17.1214277858053 5.08811227809564
608372 -74.5396005 41.90287 877 374.903724346721 345.914939370915 17.1214277858053 5.08811227809564
608373 -74.5396005 41.90287 877 374.903724346721 345.914939370915 17.1214277858053 5.08811227809564
608374 -74.5396005 41.90287 877 374.903724346721 345.914939370915 17.1214277858053 5.08811227809564
608375 -74.5396005 41.90287 877 374.903724346721 345.914939370915 17.1214277858053 5.08811227809564
608376 -74.5396005 41.90287 877 374.903724346721 345.914939370915 17.1214277858053 5.08811227809564
608377 -74.5396005 41.90287 877 374.903724346721 345.914939370915 17.1214277858053 5.08811227809564
608378 -74.5396005 41.90287 877 374.903724346721 345.914939370915 17.1214277858053 5.08811227809564
608379 -74.5396005 41.90287 877 374.903724346721 345.914939370915 17.1214277858053 5.08811227809564
608406 -74.4540282 43.4890471 524 335.631186183879 317.639109274974 17.1992084508075 4.39920778701353
