ID lon lat PPT_br Rad_br RH_br Tave_br Tmax_br Tmin_br ndvi_M srtm
608580 -79.51135 39.06175 135.554702616087 172.291383485283 62.0381811238808 17.4044851838543 24.5413324667836 9.70367908528933 9066 1069
608583 -79.53341 39.06243 132.797089368661 170.35168768973 62.2309811238295 17.8764717624788 24.9973049506922 10.1999981366101 9126 992
608585 -79.53341 39.06243 132.797089368661 170.35168768973 62.2309811238295 17.8764717624788 24.9973049506922 10.1999981366101 9126 992
608587 -79.53341 39.06243 132.797089368661 170.35168768973 62.2309811238295 17.8764717624788 24.9973049506922 10.1999981366101 9126 992
608590 -79.53341 39.06243 132.797089368661 170.35168768973 62.2309811238295 17.8764717624788 24.9973049506922 10.1999981366101 9126 992
608618 -78.66564 40.23369 101.108609529467 177.056898931755 69.7530750989062 19.1895606379375 25.3173636571458 12.8599012821106 9304 852
608621 -78.66564 40.23369 101.108609529467 177.056898931755 69.7530750989062 19.1895606379375 25.3173636571458 12.8599012821106 9304 852
608624 -78.66564 40.23369 101.108609529467 177.056898931755 69.7530750989062 19.1895606379375 25.3173636571458 12.8599012821106 9304 852
608626 -78.66564 40.23369 101.108609529467 177.056898931755 69.7530750989062 19.1895606379375 25.3173636571458 12.8599012821106 9304 852
608628 -78.66237 40.22306 99.6736144932267 176.140754701052 68.291215245781 19.3078821334871 25.7000196944892 12.7071008240113 9276 723
608629 -78.68679 40.24508 103.428758766141 179.25384606282 71.7893513171649 19.0369864014985 24.7611708310637 13.0960124903802 9441 855
608630 -78.68679 40.24508 103.428758766141 179.25384606282 71.7893513171649 19.0369864014985 24.7611708310637 13.0960124903802 9441 855
608631 -78.66463 40.22304 99.8977890522863 176.215168959544 68.5412370092415 19.2798748499401 25.6300357360725 12.7256157154814 9276 723
608641 -78.204 40.761 102.689207739942 173.331213572575 61.6666666666667 19.3640596346723 26.7953704009968 11.6245759277289 8949 480
608642 -78.204 40.761 102.689207739942 173.331213572575 61.6666666666667 19.3640596346723 26.7953704009968 11.6245759277289 8949 480
608648 -78.198 40.764 102.784245440463 173.564534962676 61.6666666666667 19.326621926816 26.7671479421676 11.5891532409484 8604 479
610037 -84.02686 35.34761 153.2258459067 183.322179183542 63.3895617225854 18.38794093216 25.3773828320763 10.9396584243 9018 1322
610045 -84.02686 35.34761 153.2258459067 183.322179183542 63.3895617225854 18.38794093216 25.3773828320763 10.9396584243 9018 1322
610049 -84.02686 35.34761 153.2258459067 183.322179183542 63.3895617225854 18.38794093216 25.3773828320763 10.9396584243 9018 1322
610052 -84.02686 35.34761 153.2258459067 183.322179183542 63.3895617225854 18.38794093216 25.3773828320763 10.9396584243 9018 1322
610062 -84.03101 35.33751 153.86087048601 182.811251960926 63.3531366625207 18.3499034806047 25.3396351882193 10.8877283622496 8936 1354
610065 -84.03101 35.33751 153.86087048601 182.811251960926 63.3531366625207 18.3499034806047 25.3396351882193 10.8877283622496 8936 1354
610076 -83.99466 35.35231 155.191120595328 188.263993240398 63.3759049199447 17.9216047489325 24.8412178839399 10.6027248148719 9066 1283
612854 -83.05503 35.00456 170.084603895418 185.439624649435 66.059578945708 21.4780311951973 28.116868933307 14.263587740486 8786 879
612855 -83.05467 35.00284 169.841357963616 185.176251174559 65.9833480559483 21.5174433219575 28.1712262336328 14.2824606365223 8786 879
612856 -83.05503 35.00456 170.084603895418 185.439624649435 66.059578945708 21.4780311951973 28.116868933307 14.263587740486 8786 879
612857 -83.09102 34.96542 164.225532911821 183.353502598507 65.6354612019989 21.9423554384796 28.6978721313344 14.6360618746757 8835 840
612859 -83.05503 35.00456 170.084603895418 185.439624649435 66.059578945708 21.4780311951973 28.116868933307 14.263587740486 8786 879
612863 -83.05503 35.00456 170.084603895418 185.439624649435 66.059578945708 21.4780311951973 28.116868933307 14.263587740486 8786 879
612865 -83.05467 35.00284 169.841357963616 185.176251174559 65.9833480559483 21.5174433219575 28.1712262336328 14.2824606365223 8786 879
612867 -83.05503 35.00456 170.084603895418 185.439624649435 66.059578945708 21.4780311951973 28.116868933307 14.263587740486 8786 879
612879 -84.01383 34.77231 136.146033046667 189.269349173149 63.4073815884076 20.8030440619214 27.921567135835 13.0659966398323 8898 891
612880 -84.01383 34.77231 136.146033046667 189.269349173149 63.4073815884076 20.8030440619214 27.921567135835 13.0659966398323 8898 891
612881 -84.01383 34.77231 136.146033046667 189.269349173149 63.4073815884076 20.8030440619214 27.921567135835 13.0659966398323 8898 891
612882 -84.01383 34.77231 136.146033046667 189.269349173149 63.4073815884076 20.8030440619214 27.921567135835 13.0659966398323 8898 891
612883 -84.00542 34.76412 138.695750537731 191.344063306621 63.486750174984 20.7577769342448 27.8604261019633 13.0524769395667 9188 830
