"ID","photo","pl_code","lumMean","lumSD","lwMean","lwSD","mwMean","mwSD","swMean","swSD","uvMean","uvSD","dblMean","dblSD","area","N"
"614273","side","o",0.086642759,0.02127196,0.083226872,0.020641393,0.088333014,0.021863892,0.0969259,0.024541226,0.127433634,0.0294701,0.086642759,0.02127196,15784,1
"614273","side","w",0.409199501,0.073515107,0.411206744,0.073084032,0.400183508,0.071044402,0.387153943,0.072437615,0.435667356,0.069540284,0.409199501,0.073515107,54858,1
"614273","ventral","b",0.441611743333333,0.0730263113333333,0.453047287666667,0.079231664,0.434989425,0.073475525,0.392800333666667,0.059398656,0.455141935333333,0.0600805386666667,0.441611743333333,0.0730263113333333,35471.3333333333,3
"614273","ventral","v",0.364048127,0.114108351,0.371976181,0.120678636,0.359929024,0.112657717,0.330575184,0.094061086,0.37336714,0.103311189,0.364048127,0.114108351,947245,1
"614276","dorsal","d",0.0640718203333333,0.0101309733333333,0.056361648,0.00844781033333333,0.0655151686666667,0.0108485296666667,0.083928181,0.0158459493333333,0.105370977,0.016225716,0.0640718203333333,0.0101309733333333,33744.3333333333,3
"614276","dorsal","f",0.066128368,0.010345086,0.05847906,0.008675367,0.067585312,0.011022108,0.085679133,0.016248179,0.109005425,0.016134662,0.066128368,0.010345086,378154,1
"614276","side","o",0.074026978,0.018758009,0.069231613,0.017937033,0.075166108,0.019008699,0.089515006,0.024007032,0.119084987,0.035523596,0.074026978,0.018758009,34169,1
"614276","side","w",0.457669444,0.112860786,0.464071627,0.11904114,0.450027832,0.110620088,0.415793547,0.09238395,0.451351334,0.102918306,0.457669444,0.112860786,41984,1
"614276","ventral","b",0.447525016666667,0.0652047526666667,0.458236907666667,0.0710053443333333,0.43751902,0.065174441,0.40664002,0.0541915163333333,0.458729271,0.0450940813333333,0.447525016666667,0.0652047526666667,35535.3333333333,3
"614276","ventral","t",0.03562061,0.007360802,0.034830064,0.008299955,0.037217235,0.008046013,0.044870325,0.008918059,0.047057314,0.0068901,0.03562061,0.007360802,187639,1
"614276","ventral","v",0.342208938,0.142351048,0.34723838,0.149941201,0.335849297,0.138370511,0.320329765,0.12015438,0.3693415,0.127368418,0.342208938,0.142351048,1076491,1
"614277","dorsal","d",0.067001354,0.011955795,0.0597173133333333,0.00875004533333333,0.0697570116666667,0.0127949086666667,0.0821779403333333,0.0191202406666667,0.114109386333333,0.012428358,0.067001354,0.011955795,35410,3
"614277","dorsal","f",0.067629437,0.012089388,0.060400685,0.008987536,0.070400157,0.012895317,0.082577585,0.019112334,0.115558381,0.014642971,0.067629437,0.012089388,381173,1
"614277","side","o",0.062183916,0.020706985,0.05512685,0.01901731,0.064725663,0.021287445,0.077754268,0.024662899,0.108884154,0.033633531,0.062183916,0.020706985,107991,1
"614277","side","w",0.473310811,0.138087512,0.487981543,0.143111592,0.476383617,0.138978596,0.396093089,0.109560486,0.427334647,0.083705706,0.473310811,0.138087512,97143,1
"614277","ventral","b",0.431322578,0.0524752483333333,0.441601609333333,0.0572103033333333,0.424882511,0.0527843546666667,0.388384163333333,0.045297807,0.428346873333333,0.049394306,0.431322578,0.0524752483333333,36682.6666666667,3
"614277","ventral","t",0.036568384,0.009376978,0.035187335,0.009514355,0.038259815,0.009959415,0.046499652,0.011112286,0.052636362,0.022494543,0.036568384,0.009376978,190132,1
"614277","ventral","v",0.362457983,0.106627398,0.366035566,0.114403447,0.356364637,0.104438009,0.339277659,0.086438727,0.389119303,0.091769901,0.362457983,0.106627398,1125176,1
"614278","dorsal","d",0.0717478223333333,0.014266532,0.067006241,0.0121517106666667,0.0744047606666667,0.015102323,0.082774139,0.019465104,0.111892815,0.0142996293333333,0.0717478223333333,0.014266532,33316.6666666667,3
