Melanogenesis_genes,Citation
SFRP1,Poelstra et al 2015
SFRP2,Poelstra et al 2015
SFRP4,Poelstra et al 2015
SFRP5,Poelstra et al 2015
SFXN1,Poelstra et al 2015
SGCD,Poelstra et al 2015
SGK3,Poelstra et al 2015
SHROOM2,Poelstra et al 2015
SLC15A1,Poelstra et al 2015
SLC16A6,Poelstra et al 2015
SLC19A2,Poelstra et al 2015
SLC1A4,Poelstra et al 2015
SLC23A1,Poelstra et al 2015
SLC24A4,Poelstra et al 2015
SLC24A5,Poelstra et al 2015
SLC27A2,Poelstra et al 2015
SLC27A3,Poelstra et al 2015
SLC31A1,Poelstra et al 2015
SLC36A1,Poelstra et al 2015
SLC45A2,Poelstra et al 2015
SLC4A2,Poelstra et al 2015
SLC7A11,Poelstra et al 2015
SLC7A5,Poelstra et al 2015
SMARCA5,Poelstra et al 2015
SMCHD1,Poelstra et al 2015
SNAI2,Poelstra et al 2015
SNCA,Poelstra et al 2015
SORT1,Poelstra et al 2015
SOX10,Poelstra et al 2015
SOX13,Poelstra et al 2015
SOX18,Poelstra et al 2015
SOX2,Poelstra et al 2015
SOX9,Poelstra et al 2015
SPSB1,Poelstra et al 2015
ST3GAL6,Poelstra et al 2015
ST8SIA1,Poelstra et al 2015
STAT3,Poelstra et al 2015
STX17,Poelstra et al 2015
STX3,Poelstra et al 2015
STX7,Poelstra et al 2015
STXBP1,Poelstra et al 2015
SUFU,Poelstra et al 2015
TBC1D16,Poelstra et al 2015
TBX10,Poelstra et al 2015
TBX15,Poelstra et al 2015
TBX2,Poelstra et al 2015
TCF7,Poelstra et al 2015
TCFAP2A,Hoekstra 2006. Nat.
TCF7L2,Poelstra et al 2015
TDRD7,Poelstra et al 2015
TFAP2A,Poelstra et al 2015
TH,Poelstra et al 2015
TIMP2,Poelstra et al 2015
TIMP3,Poelstra et al 2015
TMC6,Poelstra et al 2015
TMCC2,Poelstra et al 2015
TMEM51,Poelstra et al 2015
TPCN2,Poelstra et al 2015
TRAF6,Poelstra et al 2015
TRIB2,Poelstra et al 2015
TRIM2,Poelstra et al 2015
TRPM1,Poelstra et al 2015
TRPM7,Poelstra et al 2015
TUB,Poelstra et al 2015
TYR,Poelstra et al 2015
TYRP1,Poelstra et al 2015
UBE2V1,Poelstra et al 2015
UBL3,Poelstra et al 2015
UNC119,Poelstra et al 2015
USP48,Poelstra et al 2015
VAT1,Poelstra et al 2015
VLDLR,Poelstra et al 2015
VPS33A,Poelstra et al 2015
VSX2,Poelstra et al 2015
WDR91,Poelstra et al 2015
WIF1,Poelstra et al 2015
WIPF1,Poelstra et al 2015
WIPF2,Poelstra et al 2015
WIPF3,Poelstra et al 2015
WIPI1,Poelstra et al 2015
WNT1,Poelstra et al 2015
WNT10B,Poelstra et al 2015
WNT11,Poelstra et al 2015
WNT16,Poelstra et al 2015
WNT2,Poelstra et al 2015
WNT2B,Poelstra et al 2015
WNT3,Poelstra et al 2015
WNT3A,Poelstra et al 2015
WNT4,Poelstra et al 2015
WNT5A,Poelstra et al 2015
WNT5B,Poelstra et al 2015
WNT6,Poelstra et al 2015
WNT7A,Poelstra et al 2015
WNT7B,Poelstra et al 2015
WNT8A,Poelstra et al 2015
WNT8B,Poelstra et al 2015
WNT9A,Poelstra et al 2015
WNT9B,Poelstra et al 2015
ZBTB17,Poelstra et al 2015
ZFYVE16,Poelstra et al 2015
