"Image Name","BW15114_f1"
"Created Date","	6/7/2023 11:33:04 AM"
"Specimen","BW15110"
"Description",""
"Observations",""
"Calibration","1 pixel = 3.93E-003 mm"


"Measurement #","Group","Tool","Comments","Class","Line Length (mm)","Width (mm)","Height (mm)","End Distance (mm)"
"37","","Segment","b8","clear segment","0.306316474857","0.247424001563","0.180585564815","0.306316474857"
"38","","Segment","b8","clear segment","0.449607122757","0.400591240625","0.204140203704","0.449607122757"
"39","","Segment","b8","clear segment","0.819475144514","0.789400385938","0.215917523148","0.818396814584"
"40","","Segment","b8","clear segment","1.705569789907","1.700549090104","0.117773194444","1.704622460601"
"41","","Segment","b8","black segment","0.543486612703","0.432010161458","0.329764944444","0.543486612703"
"42","","Segment","b8","black segment","0.269012457443","0.223859810938","0.149179379630","0.269012457443"
"43","","Segment","b8","black segment","0.439854911914","0.404518605729","0.172734018519","0.439854911914"
"44","","Segment","b8","black segment","0.078938744884","0.078547302083","0.007851546296","0.078938744884"
"45","","Segment","b9","black segment","0.325820715451","0.247424001563","0.211991750000","0.325820715451"
"46","","Segment","b9","black segment","0.099109852742","0.082474667188","0.054960824074","0.099109852742"
"47","","Segment","b9","black segment","0.037046470231","0.031418920833","0.019628865741","0.037046470231"
"48","","Segment","b9","black segment","0.080951656983","0.062837841667","0.051035050926","0.080951656983"
"49","","Segment","b9","black segment","0.159854248301","0.141385143750","0.074589689815","0.159854248301"
"50","","Segment","b9","black segment","0.075845980540","0.070692571875","0.027480412037","0.075845980540"
"51","","Segment","b9","clear segment","0.729178935603","0.549831114583","0.478944324074","0.729178935603"
"52","","Segment","b9","clear segment","0.146085718959","0.117820953125","0.086367009259","0.146085718959"
"53","","Segment","b9","clear segment","0.148185880925","0.125675683333","0.078515462963","0.148185880925"
"54","","Segment","b9","clear segment","0.174428571438","0.149239873958","0.090292782407","0.174428571438"
"55","","Segment","b9","clear segment","0.411145249301","0.373099684896","0.172734018519","0.411145249301"
"56","","Segment","b9","clear segment","2.543547593708","2.509586301563","0.282655666667","2.522131976510"
"57","","Segment","b10","clear segment","0.850074138423","0.596959495833","0.604569064815","0.849626031732"
"58","","Segment","b10","clear segment","0.136306799163","0.102111492708","0.090292782407","0.136306799163"
"59","","Segment","b10","clear segment","0.192569931953","0.149239873958","0.121698967593","0.192569931953"
"60","","Segment","b10","clear segment","0.519929462681","0.443792256771","0.270878347222","0.519929462681"
"61","","Segment","b10","clear segment","2.186132907101","2.148268711979","0.302284532407","2.168888288524"
"62","","Segment","b10","black segment","0.444273047818","0.310261843229","0.317987625000","0.444273047818"
"63","","Segment","b10","black segment","0.055530074259","0.039273651042","0.039257731481","0.055530074259"
"64","","Segment","b10","black segment","0.110021788321","0.090329397396","0.062812370370","0.110021788321"
"65","","Segment","b10","black segment","0.084951302350","0.070692571875","0.047109277778","0.084951302350"
"66","","Segment","b10","black segment","0.418286155091","0.380954415104","0.172734018519","0.418286155091"
